,Marka:,Seri:,Model:,Yıl:,Yakıt Tipi:,Vites Tipi:,Motor Hacmi:,Motor Gücü:,Kilometre:,İlan No:
1182, Honda   , Accord   , 2.0 Executive   , 2009   , LPG & Benzin   , Otomatik   , 1998 cc   , 156 hp   , 200.000 km   ,
1183, Ford   , Escort   , 1.6 CL   , 1996   , LPG & Benzin   , Düz   , 1597 cc   , 90 hp   , 220.000 km   ,
1184, Renault   , Symbol   , 1.4 Authentique   , 2008   , LPG & Benzin   , Düz   , 1390 cc   , 75 hp   , 121.000 km   ,
1185, Opel   , Insignia   , 1.6 CDTI Design   , 2017   , Dizel   , Otomatik   , 1598 cc   , 136 hp   , 200.000 km   ,
1186, Citroen   , C4   , 1.6 SX   , 2006   , LPG & Benzin   , Düz   , 1587 cc   , 111 hp   , 182.000 km   ,
1187, Citroen   , ZX   , 1.4 Avantage   , 1993   , Benzin   , Düz   , 1601 - 1800 cm3   , 101 - 125 HP   , 176.000 km   ,
1188, Renault   , Megane   , 1.5 dCi Extreme   , 2007   , Dizel   , Düz   , 1401 - 1600 cm3   , 101 - 125 HP   , 265.000 km   ,
1189, Mercedes - Benz   , A   , A 200 BlueEFFICIENCY AMG Sport   , 2017   , Benzin   , Yarı Otomatik   , 1595 cc   , 156 hp   , 69.000 km   ,
1190, BMW   , 7 Serisi   , 730i Standart   , 1991   , LPG & Benzin   , Düz   , 2996 cc   , 218 hp   , 280.000 km   ,
1191, Volkswagen   , Jetta   , 1.6 TDi Comfortline   , 2015   , Dizel   , Yarı Otomatik   , 1598 cc   , 105 hp   , 93.000 km   ,
1192, Hyundai   , Accent Era   , 1.4 Mode   , 2011   , Benzin   , Düz   , 1399 cc   , 97 hp   , 46.500 km   ,
1193, Volkswagen   , Polo   , 1.6   , 1999   , LPG & Benzin   , Otomatik   , 1598 cc   , 75 hp   , 233.000 km   ,
1194, BMW   , 3 Serisi   , 320d xDrive Comfort   , 2011   , Dizel   , Otomatik   , 1995 cc   , 184 hp   , 214.905 km   ,
1195, Tofaş   , Kartal   , Kartal 5 Vites   , 1994   , LPG & Benzin   , Düz   , 1581 cc   , 83 hp   , 95.000 km   ,
1196, Volkswagen   , Passat   , 1.8 TSi Comfortline   , 2010   , Benzin   , Otomatik   , 1798 cc   , 160 hp   , 122.500 km   ,
1197, Honda   , Civic   , 1.6 i-VTEC Elegance   , 2007   , LPG & Benzin   , Otomatik   , 1595 cc   , 125 hp   , 250.000 km   ,
1198, Ford   , Focus   , 1.6 Trend X   , 2015   , LPG & Benzin   , Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 52.000 km   ,
1199, Peugeot   , 206   , 1.6 XS   , 2003   , LPG & Benzin   , Düz   , 1587 cc   , 112 hp   , 174.500 km   ,
1200, Volkswagen   , Passat   , 1.6 TDi BlueMotion Trendline   , 2018   , Dizel   , Düz   , 1598 cc   , 120 hp   , 23.000 km   ,
1201, Fiat   , Punto   , EVO 1.3 Multijet Dynamic   , 2011   , Dizel   , Düz   , 1201 - 1400 cm3   , 51 - 75 HP   , 300.000 km   ,
1202, Honda   , Accord   , 2.0 Executive   , 2009   , LPG & Benzin   , Otomatik   , 1998 cc   , 156 hp   , 200.000 km   ,
1203, Ford   , Escort   , 1.6 CL   , 1996   , LPG & Benzin   , Düz   , 1597 cc   , 90 hp   , 220.000 km   ,
1204, Renault   , Symbol   , 1.4 Authentique   , 2008   , LPG & Benzin   , Düz   , 1390 cc   , 75 hp   , 121.000 km   ,
1205, Opel   , Insignia   , 1.6 CDTI Design   , 2017   , Dizel   , Otomatik   , 1598 cc   , 136 hp   , 200.000 km   ,
1206, Citroen   , C4   , 1.6 SX   , 2006   , LPG & Benzin   , Düz   , 1587 cc   , 111 hp   , 182.000 km   ,
1207, Citroen   , ZX   , 1.4 Avantage   , 1993   , Benzin   , Düz   , 1601 - 1800 cm3   , 101 - 125 HP   , 176.000 km   ,
1208, Renault   , Megane   , 1.5 dCi Extreme   , 2007   , Dizel   , Düz   , 1401 - 1600 cm3   , 101 - 125 HP   , 265.000 km   ,
1209, Mercedes - Benz   , A   , A 200 BlueEFFICIENCY AMG Sport   , 2017   , Benzin   , Yarı Otomatik   , 1595 cc   , 156 hp   , 69.000 km   ,
1210, BMW   , 7 Serisi   , 730i Standart   , 1991   , LPG & Benzin   , Düz   , 2996 cc   , 218 hp   , 280.000 km   ,
1211, Volkswagen   , Jetta   , 1.6 TDi Comfortline   , 2015   , Dizel   , Yarı Otomatik   , 1598 cc   , 105 hp   , 93.000 km   ,
1212, Hyundai   , Accent Era   , 1.4 Mode   , 2011   , Benzin   , Düz   , 1399 cc   , 97 hp   , 46.500 km   ,
1213, Volkswagen   , Polo   , 1.6   , 1999   , LPG & Benzin   , Otomatik   , 1598 cc   , 75 hp   , 233.000 km   ,
1214, Tofaş   , Doğan   , SLX   , 2001   , LPG & Benzin   , Düz   , 1581 cc   , 83 hp   , 260.000 km   ,
1215, BMW   , 3 Serisi   , 320d xDrive Comfort   , 2011   , Dizel   , Otomatik   , 1995 cc   , 184 hp   , 214.905 km   ,
1216, Tofaş   , Kartal   , Kartal 5 Vites   , 1994   , LPG & Benzin   , Düz   , 1581 cc   , 83 hp   , 95.000 km   ,
1217, Volkswagen   , Passat   , 1.8 TSi Comfortline   , 2010   , Benzin   , Otomatik   , 1798 cc   , 160 hp   , 122.500 km   ,
1218, Honda   , Civic   , 1.6 i-VTEC Elegance   , 2007   , LPG & Benzin   , Otomatik   , 1595 cc   , 125 hp   , 250.000 km   ,
1219, Ford   , Focus   , 1.6 Trend X   , 2015   , LPG & Benzin   , Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 52.000 km   ,
1220, Peugeot   , 206   , 1.6 XS   , 2003   , LPG & Benzin   , Düz   , 1587 cc   , 112 hp   , 174.500 km   ,
1221, Volkswagen   , Passat   , 1.6 TDi BlueMotion Trendline   , 2018   , Dizel   , Düz   , 1598 cc   , 120 hp   , 23.000 km   ,
1222, Fiat   , Punto   , EVO 1.3 Multijet Dynamic   , 2011   , Dizel   , Düz   , 1201 - 1400 cm3   , 51 - 75 HP   , 300.000 km   ,
1223, Honda   , Accord   , 2.0 Executive   , 2009   , LPG & Benzin   , Otomatik   , 1998 cc   , 156 hp   , 200.000 km   ,
1224, Ford   , Escort   , 1.6 CL   , 1996   , LPG & Benzin   , Düz   , 1597 cc   , 90 hp   , 220.000 km   ,
1225, Renault   , Symbol   , 1.4 Authentique   , 2008   , LPG & Benzin   , Düz   , 1390 cc   , 75 hp   , 121.000 km   ,
1226, Opel   , Insignia   , 1.6 CDTI Design   , 2017   , Dizel   , Otomatik   , 1598 cc   , 136 hp   , 200.000 km   ,
1227, Citroen   , C4   , 1.6 SX   , 2006   , LPG & Benzin   , Düz   , 1587 cc   , 111 hp   , 182.000 km   ,
1228, Citroen   , ZX   , 1.4 Avantage   , 1993   , Benzin   , Düz   , 1601 - 1800 cm3   , 101 - 125 HP   , 176.000 km   ,
1229, Renault   , Megane   , 1.5 dCi Extreme   , 2007   , Dizel   , Düz   , 1401 - 1600 cm3   , 101 - 125 HP   , 265.000 km   ,
1230, Mercedes - Benz   , A   , A 200 BlueEFFICIENCY AMG Sport   , 2017   , Benzin   , Yarı Otomatik   , 1595 cc   , 156 hp   , 69.000 km   ,
1231, BMW   , 7 Serisi   , 730i Standart   , 1991   , LPG & Benzin   , Düz   , 2996 cc   , 218 hp   , 280.000 km   ,
1232, Volkswagen   , Jetta   , 1.6 TDi Comfortline   , 2015   , Dizel   , Yarı Otomatik   , 1598 cc   , 105 hp   , 93.000 km   ,
1233, Hyundai   , Accent Era   , 1.4 Mode   , 2011   , Benzin   , Düz   , 1399 cc   , 97 hp   , 46.500 km   ,
1234, Tofaş   , Doğan   , SLX   , 2001   , LPG & Benzin   , Düz   , 1581 cc   , 83 hp   , 260.000 km   ,
1235, BMW   , 3 Serisi   , 320d xDrive Comfort   , 2011   , Dizel   , Otomatik   , 1995 cc   , 184 hp   , 214.905 km   ,
1236, Tofaş   , Kartal   , Kartal 5 Vites   , 1994   , LPG & Benzin   , Düz   , 1581 cc   , 83 hp   , 95.000 km   ,
1237, Volkswagen   , Passat   , 1.8 TSi Comfortline   , 2010   , Benzin   , Otomatik   , 1798 cc   , 160 hp   , 122.500 km   ,
1238, Honda   , Civic   , 1.6 i-VTEC Elegance   , 2007   , LPG & Benzin   , Otomatik   , 1595 cc   , 125 hp   , 250.000 km   ,
1239, Ford   , Focus   , 1.6 Trend X   , 2015   , LPG & Benzin   , Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 52.000 km   ,
1240, Peugeot   , 206   , 1.6 XS   , 2003   , LPG & Benzin   , Düz   , 1587 cc   , 112 hp   , 174.500 km   ,
1241, Volkswagen   , Passat   , 1.6 TDi BlueMotion Trendline   , 2018   , Dizel   , Düz   , 1598 cc   , 120 hp   , 23.000 km   ,
1242, Fiat   , Punto   , EVO 1.3 Multijet Dynamic   , 2011   , Dizel   , Düz   , 1201 - 1400 cm3   , 51 - 75 HP   , 300.000 km   ,
1243, Honda   , Accord   , 2.0 Executive   , 2009   , LPG & Benzin   , Otomatik   , 1998 cc   , 156 hp   , 200.000 km   ,
1244, Ford   , Escort   , 1.6 CL   , 1996   , LPG & Benzin   , Düz   , 1597 cc   , 90 hp   , 220.000 km   ,
1245, Renault   , Symbol   , 1.4 Authentique   , 2008   , LPG & Benzin   , Düz   , 1390 cc   , 75 hp   , 121.000 km   ,
1246, Opel   , Insignia   , 1.6 CDTI Design   , 2017   , Dizel   , Otomatik   , 1598 cc   , 136 hp   , 200.000 km   ,
1247, Citroen   , C4   , 1.6 SX   , 2006   , LPG & Benzin   , Düz   , 1587 cc   , 111 hp   , 182.000 km   ,
1248, Citroen   , ZX   , 1.4 Avantage   , 1993   , Benzin   , Düz   , 1601 - 1800 cm3   , 101 - 125 HP   , 176.000 km   ,
1249, Renault   , Megane   , 1.5 dCi Extreme   , 2007   , Dizel   , Düz   , 1401 - 1600 cm3   , 101 - 125 HP   , 265.000 km   ,
1250, Mercedes - Benz   , A   , A 200 BlueEFFICIENCY AMG Sport   , 2017   , Benzin   , Yarı Otomatik   , 1595 cc   , 156 hp   , 69.000 km   ,
1251, BMW   , 7 Serisi   , 730i Standart   , 1991   , LPG & Benzin   , Düz   , 2996 cc   , 218 hp   , 280.000 km   ,
1252, Volkswagen   , Jetta   , 1.6 TDi Comfortline   , 2015   , Dizel   , Yarı Otomatik   , 1598 cc   , 105 hp   , 93.000 km   ,
1253, Hyundai   , Accent Era   , 1.4 Mode   , 2011   , Benzin   , Düz   , 1399 cc   , 97 hp   , 46.500 km   ,
1254, Tofaş   , Doğan   , SLX   , 2001   , LPG & Benzin   , Düz   , 1581 cc   , 83 hp   , 260.000 km   ,
1255, BMW   , 3 Serisi   , 320d xDrive Comfort   , 2011   , Dizel   , Otomatik   , 1995 cc   , 184 hp   , 214.905 km   ,
1256, Tofaş   , Kartal   , Kartal 5 Vites   , 1994   , LPG & Benzin   , Düz   , 1581 cc   , 83 hp   , 95.000 km   ,
1257, Volkswagen   , Passat   , 1.8 TSi Comfortline   , 2010   , Benzin   , Otomatik   , 1798 cc   , 160 hp   , 122.500 km   ,
1258, Honda   , Civic   , 1.6 i-VTEC Elegance   , 2007   , LPG & Benzin   , Otomatik   , 1595 cc   , 125 hp   , 250.000 km   ,
1259, Ford   , Focus   , 1.6 Trend X   , 2015   , LPG & Benzin   , Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 52.000 km   ,
1260, Peugeot   , 206   , 1.6 XS   , 2003   , LPG & Benzin   , Düz   , 1587 cc   , 112 hp   , 174.500 km   ,
1261, Volkswagen   , Passat   , 1.6 TDi BlueMotion Trendline   , 2018   , Dizel   , Düz   , 1598 cc   , 120 hp   , 23.000 km   ,
1262, Fiat   , Punto   , EVO 1.3 Multijet Dynamic   , 2011   , Dizel   , Düz   , 1201 - 1400 cm3   , 51 - 75 HP   , 300.000 km   ,
1263, Honda   , Accord   , 2.0 Executive   , 2009   , LPG & Benzin   , Otomatik   , 1998 cc   , 156 hp   , 200.000 km   ,
1264, Ford   , Escort   , 1.6 CL   , 1996   , LPG & Benzin   , Düz   , 1597 cc   , 90 hp   , 220.000 km   ,
1265, Renault   , Symbol   , 1.4 Authentique   , 2008   , LPG & Benzin   , Düz   , 1390 cc   , 75 hp   , 121.000 km   ,
1266, Opel   , Insignia   , 1.6 CDTI Design   , 2017   , Dizel   , Otomatik   , 1598 cc   , 136 hp   , 200.000 km   ,
1267, Citroen   , C4   , 1.6 SX   , 2006   , LPG & Benzin   , Düz   , 1587 cc   , 111 hp   , 182.000 km   ,
1268, Citroen   , ZX   , 1.4 Avantage   , 1993   , Benzin   , Düz   , 1601 - 1800 cm3   , 101 - 125 HP   , 176.000 km   ,
1269, Renault   , Megane   , 1.5 dCi Extreme   , 2007   , Dizel   , Düz   , 1401 - 1600 cm3   , 101 - 125 HP   , 265.000 km   ,
1270, Mercedes - Benz   , A   , A 200 BlueEFFICIENCY AMG Sport   , 2017   , Benzin   , Yarı Otomatik   , 1595 cc   , 156 hp   , 69.000 km   ,
1271, BMW   , 7 Serisi   , 730i Standart   , 1991   , LPG & Benzin   , Düz   , 2996 cc   , 218 hp   , 280.000 km   ,
1272, Volkswagen   , Jetta   , 1.6 TDi Comfortline   , 2015   , Dizel   , Yarı Otomatik   , 1598 cc   , 105 hp   , 93.000 km   ,
1273, Tofaş   , Doğan   , SLX   , 2001   , LPG & Benzin   , Düz   , 1581 cc   , 83 hp   , 260.000 km   ,
1274, BMW   , 3 Serisi   , 320d xDrive Comfort   , 2011   , Dizel   , Otomatik   , 1995 cc   , 184 hp   , 214.905 km   ,
1275, Tofaş   , Kartal   , Kartal 5 Vites   , 1994   , LPG & Benzin   , Düz   , 1581 cc   , 83 hp   , 95.000 km   ,
1276, Volkswagen   , Passat   , 1.8 TSi Comfortline   , 2010   , Benzin   , Otomatik   , 1798 cc   , 160 hp   , 122.500 km   ,
1277, Honda   , Civic   , 1.6 i-VTEC Elegance   , 2007   , LPG & Benzin   , Otomatik   , 1595 cc   , 125 hp   , 250.000 km   ,
1278, Ford   , Focus   , 1.6 Trend X   , 2015   , LPG & Benzin   , Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 52.000 km   ,
1279, Peugeot   , 206   , 1.6 XS   , 2003   , LPG & Benzin   , Düz   , 1587 cc   , 112 hp   , 174.500 km   ,
1280, Volkswagen   , Passat   , 1.6 TDi BlueMotion Trendline   , 2018   , Dizel   , Düz   , 1598 cc   , 120 hp   , 23.000 km   ,
1281, Fiat   , Punto   , EVO 1.3 Multijet Dynamic   , 2011   , Dizel   , Düz   , 1201 - 1400 cm3   , 51 - 75 HP   , 300.000 km   ,
1282, Honda   , Accord   , 2.0 Executive   , 2009   , LPG & Benzin   , Otomatik   , 1998 cc   , 156 hp   , 200.000 km   ,
1283, Ford   , Escort   , 1.6 CL   , 1996   , LPG & Benzin   , Düz   , 1597 cc   , 90 hp   , 220.000 km   ,
1284, Renault   , Symbol   , 1.4 Authentique   , 2008   , LPG & Benzin   , Düz   , 1390 cc   , 75 hp   , 121.000 km   ,
1285, Opel   , Insignia   , 1.6 CDTI Design   , 2017   , Dizel   , Otomatik   , 1598 cc   , 136 hp   , 200.000 km   ,
1286, Citroen   , C4   , 1.6 SX   , 2006   , LPG & Benzin   , Düz   , 1587 cc   , 111 hp   , 182.000 km   ,
1287, Citroen   , ZX   , 1.4 Avantage   , 1993   , Benzin   , Düz   , 1601 - 1800 cm3   , 101 - 125 HP   , 176.000 km   ,
1288, Renault   , Megane   , 1.5 dCi Extreme   , 2007   , Dizel   , Düz   , 1401 - 1600 cm3   , 101 - 125 HP   , 265.000 km   ,
1289, Mercedes - Benz   , A   , A 200 BlueEFFICIENCY AMG Sport   , 2017   , Benzin   , Yarı Otomatik   , 1595 cc   , 156 hp   , 69.000 km   ,
1290, BMW   , 7 Serisi   , 730i Standart   , 1991   , LPG & Benzin   , Düz   , 2996 cc   , 218 hp   , 280.000 km   ,
1291, Volkswagen   , Jetta   , 1.6 TDi Comfortline   , 2015   , Dizel   , Yarı Otomatik   , 1598 cc   , 105 hp   , 93.000 km   ,
1292, Peugeot   , 106   , XN   , 1999   , LPG & Benzin   , Düz   , 1124 cc   , 61 hp   , 261.500 km   ,
1293, Tofaş   , Doğan   , SLX   , 2001   , LPG & Benzin   , Düz   , 1581 cc   , 83 hp   , 260.000 km   ,
1294, BMW   , 3 Serisi   , 320d xDrive Comfort   , 2011   , Dizel   , Otomatik   , 1995 cc   , 184 hp   , 214.905 km   ,
1295, Tofaş   , Kartal   , Kartal 5 Vites   , 1994   , LPG & Benzin   , Düz   , 1581 cc   , 83 hp   , 95.000 km   ,
1296, Volkswagen   , Passat   , 1.8 TSi Comfortline   , 2010   , Benzin   , Otomatik   , 1798 cc   , 160 hp   , 122.500 km   ,
1297, Honda   , Civic   , 1.6 i-VTEC Elegance   , 2007   , LPG & Benzin   , Otomatik   , 1595 cc   , 125 hp   , 250.000 km   ,
1298, Ford   , Focus   , 1.6 Trend X   , 2015   , LPG & Benzin   , Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 52.000 km   ,
1299, Peugeot   , 206   , 1.6 XS   , 2003   , LPG & Benzin   , Düz   , 1587 cc   , 112 hp   , 174.500 km   ,
1300, Volkswagen   , Passat   , 1.6 TDi BlueMotion Trendline   , 2018   , Dizel   , Düz   , 1598 cc   , 120 hp   , 23.000 km   ,
1301, Fiat   , Punto   , EVO 1.3 Multijet Dynamic   , 2011   , Dizel   , Düz   , 1201 - 1400 cm3   , 51 - 75 HP   , 300.000 km   ,
1302, Honda   , Accord   , 2.0 Executive   , 2009   , LPG & Benzin   , Otomatik   , 1998 cc   , 156 hp   , 200.000 km   ,
1303, Ford   , Escort   , 1.6 CL   , 1996   , LPG & Benzin   , Düz   , 1597 cc   , 90 hp   , 220.000 km   ,
1304, Renault   , Symbol   , 1.4 Authentique   , 2008   , LPG & Benzin   , Düz   , 1390 cc   , 75 hp   , 121.000 km   ,
1305, Opel   , Insignia   , 1.6 CDTI Design   , 2017   , Dizel   , Otomatik   , 1598 cc   , 136 hp   , 200.000 km   ,
1306, Citroen   , C4   , 1.6 SX   , 2006   , LPG & Benzin   , Düz   , 1587 cc   , 111 hp   , 182.000 km   ,
1307, Citroen   , ZX   , 1.4 Avantage   , 1993   , Benzin   , Düz   , 1601 - 1800 cm3   , 101 - 125 HP   , 176.000 km   ,
1308, Renault   , Megane   , 1.5 dCi Extreme   , 2007   , Dizel   , Düz   , 1401 - 1600 cm3   , 101 - 125 HP   , 265.000 km   ,
1309, Mercedes - Benz   , A   , A 200 BlueEFFICIENCY AMG Sport   , 2017   , Benzin   , Yarı Otomatik   , 1595 cc   , 156 hp   , 69.000 km   ,
1310, BMW   , 7 Serisi   , 730i Standart   , 1991   , LPG & Benzin   , Düz   , 2996 cc   , 218 hp   , 280.000 km   ,
1311, Renault   , Fluence   , 1.5 dCi Touch Plus   , 2015   , Dizel   , Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 170.000 km   ,
1312, Peugeot   , 106   , XN   , 1999   , LPG & Benzin   , Düz   , 1124 cc   , 61 hp   , 261.500 km   ,
1313, Tofaş   , Doğan   , SLX   , 2001   , LPG & Benzin   , Düz   , 1581 cc   , 83 hp   , 260.000 km   ,
1314, BMW   , 3 Serisi   , 320d xDrive Comfort   , 2011   , Dizel   , Otomatik   , 1995 cc   , 184 hp   , 214.905 km   ,
1315, Tofaş   , Kartal   , Kartal 5 Vites   , 1994   , LPG & Benzin   , Düz   , 1581 cc   , 83 hp   , 95.000 km   ,
1316, Volkswagen   , Passat   , 1.8 TSi Comfortline   , 2010   , Benzin   , Otomatik   , 1798 cc   , 160 hp   , 122.500 km   ,
1317, Honda   , Civic   , 1.6 i-VTEC Elegance   , 2007   , LPG & Benzin   , Otomatik   , 1595 cc   , 125 hp   , 250.000 km   ,
1318, Ford   , Focus   , 1.6 Trend X   , 2015   , LPG & Benzin   , Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 52.000 km   ,
1319, Peugeot   , 206   , 1.6 XS   , 2003   , LPG & Benzin   , Düz   , 1587 cc   , 112 hp   , 174.500 km   ,
1320, Volkswagen   , Passat   , 1.6 TDi BlueMotion Trendline   , 2018   , Dizel   , Düz   , 1598 cc   , 120 hp   , 23.000 km   ,
1321, Fiat   , Punto   , EVO 1.3 Multijet Dynamic   , 2011   , Dizel   , Düz   , 1201 - 1400 cm3   , 51 - 75 HP   , 300.000 km   ,
1322, Honda   , Accord   , 2.0 Executive   , 2009   , LPG & Benzin   , Otomatik   , 1998 cc   , 156 hp   , 200.000 km   ,
1323, Ford   , Escort   , 1.6 CL   , 1996   , LPG & Benzin   , Düz   , 1597 cc   , 90 hp   , 220.000 km   ,
1324, Renault   , Symbol   , 1.4 Authentique   , 2008   , LPG & Benzin   , Düz   , 1390 cc   , 75 hp   , 121.000 km   ,
1325, Opel   , Insignia   , 1.6 CDTI Design   , 2017   , Dizel   , Otomatik   , 1598 cc   , 136 hp   , 200.000 km   ,
1326, Citroen   , C4   , 1.6 SX   , 2006   , LPG & Benzin   , Düz   , 1587 cc   , 111 hp   , 182.000 km   ,
1327, Citroen   , ZX   , 1.4 Avantage   , 1993   , Benzin   , Düz   , 1601 - 1800 cm3   , 101 - 125 HP   , 176.000 km   ,
1328, Renault   , Megane   , 1.5 dCi Extreme   , 2007   , Dizel   , Düz   , 1401 - 1600 cm3   , 101 - 125 HP   , 265.000 km   ,
1329, Mercedes - Benz   , A   , A 200 BlueEFFICIENCY AMG Sport   , 2017   , Benzin   , Yarı Otomatik   , 1595 cc   , 156 hp   , 69.000 km   ,
1330, Renault   , Fluence   , 1.5 dCi Touch Plus   , 2015   , Dizel   , Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 170.000 km   ,
1331, Peugeot   , 106   , XN   , 1999   , LPG & Benzin   , Düz   , 1124 cc   , 61 hp   , 261.500 km   ,
1332, Tofaş   , Doğan   , SLX   , 2001   , LPG & Benzin   , Düz   , 1581 cc   , 83 hp   , 260.000 km   ,
1333, BMW   , 3 Serisi   , 320d xDrive Comfort   , 2011   , Dizel   , Otomatik   , 1995 cc   , 184 hp   , 214.905 km   ,
1334, Tofaş   , Kartal   , Kartal 5 Vites   , 1994   , LPG & Benzin   , Düz   , 1581 cc   , 83 hp   , 95.000 km   ,
1335, Volkswagen   , Passat   , 1.8 TSi Comfortline   , 2010   , Benzin   , Otomatik   , 1798 cc   , 160 hp   , 122.500 km   ,
1336, Honda   , Civic   , 1.6 i-VTEC Elegance   , 2007   , LPG & Benzin   , Otomatik   , 1595 cc   , 125 hp   , 250.000 km   ,
1337, Ford   , Focus   , 1.6 Trend X   , 2015   , LPG & Benzin   , Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 52.000 km   ,
1338, Peugeot   , 206   , 1.6 XS   , 2003   , LPG & Benzin   , Düz   , 1587 cc   , 112 hp   , 174.500 km   ,
1339, Volkswagen   , Passat   , 1.6 TDi BlueMotion Trendline   , 2018   , Dizel   , Düz   , 1598 cc   , 120 hp   , 23.000 km   ,
1340, Fiat   , Punto   , EVO 1.3 Multijet Dynamic   , 2011   , Dizel   , Düz   , 1201 - 1400 cm3   , 51 - 75 HP   , 300.000 km   ,
1341, Honda   , Accord   , 2.0 Executive   , 2009   , LPG & Benzin   , Otomatik   , 1998 cc   , 156 hp   , 200.000 km   ,
1342, Ford   , Escort   , 1.6 CL   , 1996   , LPG & Benzin   , Düz   , 1597 cc   , 90 hp   , 220.000 km   ,
1343, Renault   , Symbol   , 1.4 Authentique   , 2008   , LPG & Benzin   , Düz   , 1390 cc   , 75 hp   , 121.000 km   ,
1344, Opel   , Insignia   , 1.6 CDTI Design   , 2017   , Dizel   , Otomatik   , 1598 cc   , 136 hp   , 200.000 km   ,
1345, Citroen   , C4   , 1.6 SX   , 2006   , LPG & Benzin   , Düz   , 1587 cc   , 111 hp   , 182.000 km   ,
1346, Citroen   , ZX   , 1.4 Avantage   , 1993   , Benzin   , Düz   , 1601 - 1800 cm3   , 101 - 125 HP   , 176.000 km   ,
1347, Renault   , Megane   , 1.5 dCi Extreme   , 2007   , Dizel   , Düz   , 1401 - 1600 cm3   , 101 - 125 HP   , 265.000 km   ,
1348, Mercedes - Benz   , A   , A 200 BlueEFFICIENCY AMG Sport   , 2017   , Benzin   , Yarı Otomatik   , 1595 cc   , 156 hp   , 69.000 km   ,
1349, Renault   , Fluence   , 1.5 dCi Touch Plus   , 2015   , Dizel   , Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 170.000 km   ,
1350, Peugeot   , 106   , XN   , 1999   , LPG & Benzin   , Düz   , 1124 cc   , 61 hp   , 261.500 km   ,
1351, Tofaş   , Doğan   , SLX   , 2001   , LPG & Benzin   , Düz   , 1581 cc   , 83 hp   , 260.000 km   ,
1352, BMW   , 3 Serisi   , 320d xDrive Comfort   , 2011   , Dizel   , Otomatik   , 1995 cc   , 184 hp   , 214.905 km   ,
1353, Tofaş   , Kartal   , Kartal 5 Vites   , 1994   , LPG & Benzin   , Düz   , 1581 cc   , 83 hp   , 95.000 km   ,
1354, Volkswagen   , Passat   , 1.8 TSi Comfortline   , 2010   , Benzin   , Otomatik   , 1798 cc   , 160 hp   , 122.500 km   ,
1355, Honda   , Civic   , 1.6 i-VTEC Elegance   , 2007   , LPG & Benzin   , Otomatik   , 1595 cc   , 125 hp   , 250.000 km   ,
1356, Ford   , Focus   , 1.6 Trend X   , 2015   , LPG & Benzin   , Otomatik   , 1401 - 1600 cm3   , 101 - 125 HP   , 52.000 km   ,
1357, Peugeot   , 206   , 1.6 XS   , 2003   , LPG & Benzin   , Düz   , 1587 cc   , 112 hp   , 174.500 km   ,
1358, Volkswagen   , Passat   , 1.6 TDi BlueMotion Trendline   , 2018   , Dizel   , Düz   , 1598 cc   , 120 hp   , 23.000 km   ,
1359, Fiat   , Punto   , EVO 1.3 Multijet Dynamic   , 2011   , Dizel   , Düz   , 1201 - 1400 cm3   , 51 - 75 HP   , 300.000 km   ,
1360, Honda   , Accord   , 2.0 Executive   , 2009   , LPG & Benzin   , Otomatik   , 1998 cc   , 156 hp   , 200.000 km   ,
1361, Ford   , Escort   , 1.6 CL   , 1996   , LPG & Benzin   , Düz   , 1597 cc   , 90 hp   , 220.000 km   ,
1362, Renault   , Symbol   , 1.4 Authentique   , 2008   , LPG & Benzin   , Düz   , 1390 cc   , 75 hp   , 121.000 km   ,
1363, Opel   , Insignia   , 1.6 CDTI Design   , 2017   , Dizel   , Otomatik   , 1598 cc   , 136 hp   , 200.000 km   ,
1364, Citroen   , C4   , 1.6 SX   , 2006   , LPG & Benzin   , Düz   , 1587 cc   , 111 hp   , 182.000 km   ,
1365, Citroen   , ZX   , 1.4 Avantage   , 1993   , Benzin   , Düz   , 1601 - 1800 cm3   , 101 - 125 HP   , 176.000 km   ,
1366, Renault   , Megane   , 1.5 dCi Extreme   , 2007   , Dizel   , Düz   , 1401 - 1600 cm3   , 101 - 125 HP   , 265.000 km   ,
1367, Mercedes - Benz   , A   , A 200 BlueEFFICIENCY AMG Sport   , 2017   , Benzin   , Yarı Otomatik   , 1595 cc   , 156 hp   , 69.000 km   ,
1368, Seat   , Ibiza   , 1.4 Style   , 2013   , LPG & Benzin   , Düz   , 1390 cc   , 85 hp   , 89.000 km   ,
1369, Toyota   , Corolla   , 1.6 Advance   , 2017   , LPG & Benzin   , Yarı Otomatik   , 1401 - 1600 cm3   , 126 - 150 HP   , 47.000 km   ,
